mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,quarter,team
240,42,80,.525,19,42,.452,10,20,.500,8,37,45,30,13,7,24,17,113,game,nop
60,10,24,.417,1,8,.125,2,8,.250,4,8,12,9,5,2,6,5,23,q1,nop
60,9,17,.529,7,14,.500,2,4,.500,1,9,10,7,2,1,8,6,27,q2,nop
120,19,41,.463,8,22,.364,4,12,.333,5,17,22,16,7,3,14,11,50,first_half,nop
60,14,20,.700,7,8,.875,3,4,.750,2,12,14,6,1,1,4,1,38,q3,nop
60,9,19,.474,4,12,.333,3,4,.750,1,8,9,8,5,3,6,5,25,q4,nop
120,23,39,.590,11,20,.550,6,8,.750,3,20,23,14,6,4,10,6,63,second_half,nop
240,38,89,.427,14,46,.304,9,12,.750,7,28,35,26,10,5,20,22,99,game,tor
60,10,21,.476,3,10,.300,3,4,.750,1,12,13,6,3,2,7,7,26,q1,tor
60,11,24,.458,8,14,.571,1,2,.500,2,5,7,9,2,1,5,6,31,q2,tor
120,21,45,.467,11,24,.458,4,6,.667,3,17,20,15,5,3,12,13,57,first_half,tor
60,11,25,.440,0,10,.000,0,0,,1,5,6,7,1,1,1,3,22,q3,tor
60,6,19,.316,3,12,.250,5,6,.833,3,6,9,4,4,1,7,6,20,q4,tor
120,17,44,.386,3,22,.136,5,6,.833,4,11,15,11,5,2,8,9,42,second_half,tor
240,32,88,.364,3,36,.083,16,20,.800,9,39,48,21,6,3,15,21,83,game,nyk
60,7,24,.292,2,8,.250,2,2,1.000,4,12,16,5,1,0,5,6,18,q1,nyk
60,9,23,.391,0,12,.000,6,6,1.000,4,9,13,5,1,1,3,4,24,q2,nyk
120,16,47,.340,2,20,.100,8,8,1.000,8,21,29,10,2,1,8,10,42,first_half,nyk
60,11,23,.478,0,6,.000,0,1,.000,1,10,11,8,2,2,4,6,22,q3,nyk
60,5,18,.278,1,10,.100,8,11,.727,0,8,8,3,2,0,3,5,19,q4,nyk
120,16,41,.390,1,16,.062,8,12,.667,1,18,19,11,4,2,7,11,41,second_half,nyk
240,34,83,.410,17,52,.327,15,21,.714,9,44,53,21,7,6,16,22,100,game,tor
60,7,20,.350,4,13,.308,4,7,.571,2,11,13,6,3,0,5,4,22,q1,tor
60,8,22,.364,3,14,.214,1,2,.500,4,7,11,3,0,1,3,7,20,q2,tor
120,15,42,.357,7,27,.259,5,9,.556,6,18,24,9,3,1,8,11,42,first_half,tor
60,9,22,.409,6,15,.400,5,5,1.000,2,12,14,7,2,3,4,3,29,q3,tor
60,10,19,.526,4,10,.400,5,7,.714,1,14,15,5,2,2,4,8,29,q4,tor
120,19,41,.463,10,25,.400,10,12,.833,3,26,29,12,4,5,8,11,58,second_half,tor
240,41,84,.488,15,29,.517,29,34,.853,12,44,56,19,3,9,19,29,126,game,bos
60,8,18,.444,4,6,.667,3,3,1.000,1,11,12,4,1,2,6,7,23,q1,bos
60,11,21,.524,6,12,.500,10,13,.769,3,15,18,5,1,4,4,5,38,q2,bos
120,19,39,.487,10,18,.556,13,16,.812,4,26,30,9,2,6,10,12,61,first_half,bos
60,14,25,.560,3,7,.429,8,10,.800,3,8,11,6,0,1,2,10,39,q3,bos
60,8,20,.400,2,4,.500,8,8,1.000,5,10,15,4,1,2,7,7,26,q4,bos
120,22,45,.489,5,11,.455,16,18,.889,8,18,26,10,1,3,9,17,65,second_half,bos
240,36,90,.400,13,37,.351,29,38,.763,8,29,37,20,13,4,10,26,114,game,tor
60,10,20,.500,7,14,.500,5,11,.455,1,9,10,7,5,0,1,3,32,q1,tor
60,5,24,.208,0,6,.000,4,4,1.000,3,4,7,2,3,1,4,10,14,q2,tor
120,15,44,.341,7,20,.350,9,15,.600,4,13,17,9,8,1,5,13,46,first_half,tor
60,10,21,.476,2,6,.333,13,15,.867,1,9,10,5,1,2,4,9,35,q3,tor
60,11,25,.440,4,11,.364,7,8,.875,3,7,10,6,4,1,1,4,33,q4,tor
120,21,46,.457,6,17,.353,20,23,.870,4,16,20,11,5,3,5,13,68,second_half,tor
240,46,90,.511,14,35,.400,15,18,.833,11,41,52,19,4,6,16,20,121,game,mil
60,14,24,.583,5,13,.385,1,1,1.000,1,12,13,10,1,0,4,3,34,q1,mil
60,10,21,.476,2,6,.333,3,3,1.000,2,11,13,3,2,2,5,6,25,q2,mil
120,24,45,.533,7,19,.368,4,4,1.000,3,23,26,13,3,2,9,9,59,first_half,mil
60,9,22,.409,2,5,.400,5,7,.714,5,8,13,1,0,2,6,7,25,q3,mil
60,13,23,.565,5,11,.455,6,7,.857,3,10,13,5,1,2,1,4,37,q4,mil
120,22,45,.489,7,16,.438,11,14,.786,8,18,26,6,1,4,7,11,62,second_half,mil
240,48,101,.475,18,40,.450,8,11,.727,10,27,37,23,8,6,6,17,122,game,bos
60,11,27,.407,7,15,.467,2,2,1.000,3,8,11,9,2,0,1,2,31,q1,bos
60,13,26,.500,5,10,.500,2,4,.500,3,8,11,6,3,1,2,2,33,q2,bos
120,24,53,.453,12,25,.480,4,6,.667,6,16,22,15,5,1,3,4,64,first_half,bos
60,14,23,.609,5,9,.556,4,5,.800,1,6,7,8,3,4,1,6,37,q3,bos
